benchmark,system_label,task_count,mean_score_delta_vs_sas,mean_success_delta_vs_sas,mean_latency_delta_ms_vs_sas,mean_tokens_delta_vs_sas,mean_communication_delta_vs_sas,mean_tool_calls_delta_vs_sas,score_wins_vs_sas,score_ties_vs_sas,score_losses_vs_sas
browsecomp,group_chat_debate,3,0.0,0.0,40400.012917341934,-49309.333333333336,5.333333333333333,19.0,1,1,1
browsecomp,orchestrator_with_discussion,3,0.0,0.0,65579.5830279996,43868.333333333336,7.0,34.0,1,1,1
browsecomp,only_voting,3,0.0,0.0,48535.74122300139,254265.66666666666,0.0,19.666666666666668,1,1,1
browsecomp,fully_linked_debate,3,-0.3333333333333333,-0.3333333333333333,30018.474443996558,-57870.666666666664,8.0,9.666666666666666,0,2,1
browsecomp,orchestrator_tree_structure,3,-0.3333333333333333,-0.3333333333333333,81679.71848633025,7495.0,12.0,36.666666666666664,0,2,1
browsecomp,orchestrator_no_discussion,3,-0.3333333333333333,-0.3333333333333333,44183.49263899637,45246.0,7.0,24.666666666666668,0,2,1
workbench,only_voting,3,0.3333333333333333,0.3333333333333333,16766.559777340735,6655.333333333333,0.0,8.0,1,2,0
workbench,fully_linked_debate,3,0.3333333333333333,0.3333333333333333,32104.941929664015,16662.666666666668,12.0,9.0,1,2,0
workbench,orchestrator_no_discussion,3,0.3333333333333333,0.3333333333333333,29888.538569660177,17750.333333333332,5.0,16.0,1,2,0
workbench,group_chat_debate,3,0.3333333333333333,0.3333333333333333,62460.598931341294,26689.0,5.333333333333333,17.0,1,2,0
workbench,orchestrator_tree_structure,3,0.3333333333333333,0.3333333333333333,61132.01784834159,33208.0,12.0,32.666666666666664,1,2,0
workbench,orchestrator_with_discussion,3,0.3333333333333333,0.3333333333333333,90125.58531833882,44678.333333333336,8.0,27.0,1,2,0
