C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology,system_root,sas_score,sas_success_rate,sas_latency_ms,sas_tokens_total,sas_communication_count,sas_tool_calls_total,score_delta_vs_sas,success_delta_vs_sas,latency_delta_ms_vs_sas,tokens_delta_vs_sas,communication_delta_vs_sas,tool_calls_delta_vs_sas,score_win_vs_sas,score_tie_vs_sas,score_loss_vs_sas
50309.56003898964,23186.0,0.0,20.0,0.0,12.0,12.0,0.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,38246.3595809968,16365.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,12019.200457992849,6816.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/769,769,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,28767.38362299162,-132852.0,12.0,12.0,0,0,1
40600.610000004875,28794.0,0.0,20.0,0.0,12.0,12.0,0.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,35086.97416700306,18145.0,0.0,0.0,1.0,1.0,186.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,5469.635833001812,10463.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/770,770,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate,0.0,0.0,6397.51229200128,77542.0,0.0,9.0,0.0,0.0,34203.097708003595,-48748.0,12.0,11.0,0,1,0
30643.200209995848,8961.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,31.0,0.032258064516129,0.0,0.2580645161290322,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,20231.638250996184,4842.0,0.0,0.0,1.0,1.0,144.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,10392.561958999664,3975.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/771,771,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate,0.0,0.0,3558.2582090013893,973.0,0.0,2.0,0.0,0.0,27084.94200099446,7988.0,0.0,6.0,0,1,0
33490.34296000854,14205.0,0.0,14.0,0.0,0.0,2.0,2.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,28922.638333999203,9429.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,4536.704626009334,4763.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/769,769,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,11948.166544010513,-141833.0,2.0,6.0,0,0,1
66396.00887602789,42131.0,0.0,36.0,0.0,6.0,8.0,2.0,21.0,113.0,0.0442477876106194,0.4513274336283185,0.1858407079646017,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,14.0,47775.821877017734,22321.0,0.0,0.0,1.0,1.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,21.0,18542.186999010155,19616.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/770,770,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate,0.0,0.0,6397.51229200128,77542.0,0.0,9.0,0.0,0.0,59998.49658402661,-35411.0,8.0,27.0,0,1,0
52811.633832990075,30289.0,0.0,26.0,0.0,4.0,6.0,2.0,15.0,81.0,0.037037037037037,0.3086419753086419,0.1851851851851851,1.0,1.0,0.0,0.0,0.0,4,browsecomp,1.0,1.0,1.0,1,10.0,40884.27879198571,19195.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,11871.355041004368,11093.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/771,771,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate,0.0,0.0,3558.2582090013893,973.0,0.0,2.0,1.0,1.0,49253.375623988686,29316.0,6.0,24.0,1,0,0
76572.86250100925,515635.0,0.0,40.0,0.0,0.0,0.0,0.0,5.0,92.0,0.0108695652173913,0.0,0.0652173913043478,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,74959.99520900659,514441.0,0.0,0.0,1.0,1.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1530.8672920026584,895.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/769,769,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,55030.68608501123,359597.0,0.0,32.0,0,0,1
46195.983917000995,379662.0,0.0,24.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0166666666666666,0.0,0.1,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,44755.808166999486,378769.0,0.0,0.0,1.0,1.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1390.1757500015085,746.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/770,770,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting,0.0,0.0,6397.51229200128,77542.0,0.0,9.0,0.0,0.0,39798.471624999715,302120.0,0.0,15.0,0,1,0
54336.32416799461,102053.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,40.0,0.025,0.0,0.15,1.0,1.0,0.0,0.0,0.0,4,browsecomp,1.0,1.0,1.0,1,4.0,52943.12525099667,100513.0,0.0,0.0,1.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1363.1989169979352,1326.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/771,771,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting,0.0,0.0,3558.2582090013893,973.0,0.0,2.0,1.0,1.0,50778.06595899322,101080.0,0.0,12.0,1,0,0
82857.62991599995,209659.0,0.0,40.0,0.0,8.0,8.0,0.0,16.0,107.0,0.0186915887850467,0.3457943925233644,0.1401869158878504,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,9.0,79194.2398329993,205322.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,3580.390083000646,4106.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion/769,769,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,61315.453500001924,53621.0,8.0,32.0,0,0,1
56421.05820998794,127087.0,0.0,36.0,0.0,8.0,8.0,0.0,16.0,99.0,0.0202020202020202,0.2929292929292929,0.1515151515151515,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,9.0,52065.85366799118,122138.0,0.0,0.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,4280.204541996762,4821.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion/770,770,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion,0.0,0.0,6397.51229200128,77542.0,0.0,9.0,0.0,0.0,50023.54591798666,49545.0,8.0,27.0,0,1,0
24769.736708001932,33545.0,0.0,17.0,0.0,5.0,5.0,0.0,8.0,49.0,0.0204081632653061,0.0,0.1632653061224489,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,5.0,24725.736708001932,33424.0,0.0,0.0,1.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion/771,771,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion,0.0,0.0,3558.2582090013893,973.0,0.0,2.0,0.0,0.0,21211.478499000543,32572.0,5.0,15.0,0,1,0
67212.47133299464,122571.0,0.0,48.0,0.0,10.0,12.0,2.0,20.0,135.0,0.0296296296296296,0.3185185185185185,0.1555555555555555,0.0,1.0,0.0,0.0,0.0,5,browsecomp,0.0,1.0,0.0,1,13.0,67090.47133299464,122558.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure/769,769,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,45670.294916996616,-33467.0,12.0,40.0,0,0,1
127886.9651260096,79629.0,0.0,42.0,0.0,10.0,12.0,2.0,20.0,123.0,0.032520325203252,0.3170731707317073,0.1707317073170731,0.0,1.0,0.0,0.0,0.0,5,browsecomp,0.0,1.0,0.0,1,13.0,127776.9651260096,79477.0,0.0,0.0,1.0,1.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure/770,770,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure,0.0,0.0,6397.51229200128,77542.0,0.0,9.0,0.0,0.0,121489.45283400832,2087.0,12.0,33.0,0,1,0
81437.66591698723,54838.0,0.0,39.0,0.0,10.0,12.0,2.0,20.0,117.0,0.0341880341880341,0.2991452991452991,0.1794871794871795,0.0,1.0,0.0,0.0,0.0,5,browsecomp,0.0,1.0,0.0,1,13.0,81333.66591698723,54777.0,0.0,0.0,1.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure/771,771,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_tree_structure,0.0,0.0,3558.2582090013893,973.0,0.0,2.0,0.0,0.0,77879.40770798584,53865.0,12.0,37.0,0,1,0
66160.7167489921,99528.0,0.0,37.0,0.0,8.0,8.0,0.0,18.0,108.0,0.0277777777777777,0.1851851851851851,0.1759259259259259,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,11.0,58690.48891498824,88988.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,19.0,7392.227834003861,10533.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_with_discussion/769,769,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_with_discussion,1.0,1.0,21542.176415998023,156038.0,0.0,8.0,-1.0,-1.0,44618.540332994075,-56510.0,8.0,29.0,0,0,1
