C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
11478.262292047963,4403.0,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,1,workbench,0.0,1.0,0.0,1,1.0,11467.262292047963,4358.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,sas,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/sas/multi_domain_0,multi_domain_0,sas
10443.184208089486,5476.0,0.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1,workbench,0.0,1.0,0.0,1,1.0,10430.184208089486,5422.0,0.0,0.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,sas,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/sas/multi_domain_1,multi_domain_1,sas
8693.672332972288,4406.0,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,1,workbench,0.0,1.0,0.0,1,1.0,8682.672332972288,4361.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,sas,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/sas/multi_domain_2,multi_domain_2,sas
8451.684874912724,4831.0,0.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1,workbench,0.0,1.0,0.0,1,1.0,8438.684874912724,4756.0,0.0,0.0,1.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,sas,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/sas/multi_domain_3,multi_domain_3,sas
8125.630666095763,4430.0,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,1,workbench,0.0,1.0,0.0,1,1.0,8114.630666095763,4383.0,0.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,sas,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/sas/multi_domain_4,multi_domain_4,sas
