benchmark,system_label,topology,task_count,avg_accuracy,avg_eval_score,median_eval_score,avg_success_rate,avg_stability,avg_token_total,avg_tokens_total,median_tokens_total,avg_cost_per_success,avg_tokens_cv,avg_tool_calls_total,avg_tool_error_rate,avg_communication_count,avg_handoff_count,avg_latency_e2e,avg_agent_to_agent_communication_count,avg_system_mediated_communication_count,avg_pass_at_1,avg_pass_at_3,avg_pass_at_5,avg_pass_at_8
browsecomp,dylan,dylan,30,0.01111111111111111,0.01111111111111111,0.0,0.01111111111111111,0.9703703703703703,33496.32222222222,33496.32222222222,27053.5,86939.00000000001,0.2981055028738613,17.72222222222222,0.0,0.0,7.133333333333334,152761.97672155168,0.0,0.0,0.01111111111111111,0.03333333333333333,,
plancraft,dylan,dylan,30,0.0,0.0,0.0,0.0,1.0,217128.1111111111,217128.1111111111,252495.66666666666,,0.10779168700780434,0.0,0.0,0.0,105.37777777777777,351008.3204163445,0.0,0.0,0.0,0.0,,
stabletoolbench,dylan,dylan,30,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.7925925925925926,33683.71111111111,33683.71111111111,28880.666666666664,48566.470588235294,0.07785539917387435,14.322222222222221,0.32025899791788903,0.0,8.622222222222224,187011.46291626824,0.0,0.0,0.4444444444444445,0.5666666666666667,,
workbench,dylan,dylan,30,0.17777777777777776,0.17777777777777776,0.0,0.17777777777777776,0.8814814814814814,40773.777777777774,40773.777777777774,30158.0,111444.04166666667,0.10119312536013618,39.05555555555555,0.00025839793281653663,0.0,8.133333333333333,139040.76809112995,0.0,0.0,0.17777777777777776,0.26666666666666666,,
