task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow
multi_domain_10,0.0,False,53912.34033840368,6782.666666666667,0.0,18.333333333333332,0.0,0.0,0.0,0.0,0.0,37.666666666666664,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,370443290.2133615,21130994.88888889,0.0,0.0,nan,0.0,0.0,37917.68296559652,0.0,0.0,nan,nan,1.0,1.0,37917.645460336644,6782.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,0.03666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6782.666666666667,0.6777343507058835,6782.666666666667,18.333333333333332,0.0,workbench,aflow,aflow,generate
multi_domain_11,0.0,False,28439.004099799018,4437.0,0.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,53352156.52073964,5068370.666666667,0.0,0.0,nan,0.0,0.0,19616.63508415222,0.0,0.0,nan,nan,1.0,1.0,19616.616804999165,4437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,0.017333333333333343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4437.0,0.5073933321158416,4437.0,8.666666666666666,0.0,workbench,aflow,aflow,generate
multi_domain_12,0.0,False,41107.555556100146,7093.0,0.0,15.333333333333334,0.0,0.0,0.0,0.0,0.0,31.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0,157816123.69962147,3350738.0,0.0,0.0,nan,0.0,0.0,26942.39115715027,0.0,0.0,nan,nan,1.0,1.0,26942.359571665293,7093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.666666666666668,0.030666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7093.0,0.2580716363889362,7093.0,15.333333333333334,0.0,workbench,aflow,aflow,generate
multi_domain_13,0.0,False,63912.85585539521,9689.0,0.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,57.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,226755594.97487485,7114650.0,0.0,0.0,nan,0.0,0.0,45729.50744628906,0.0,0.0,nan,nan,1.0,1.0,45729.44986099901,9689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,0.056666666666666705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9689.0,0.27529467703580907,9689.0,28.333333333333332,0.0,workbench,aflow,aflow,generate
multi_domain_14,0.0,False,21862.337702001576,5352.666666666667,0.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,27988399.226643205,963562.888888889,0.0,0.0,nan,0.0,0.0,15480.254093805948,0.0,0.0,nan,nan,1.0,1.0,15480.235061334193,5352.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5352.666666666667,0.18338754372666405,5352.666666666667,9.0,0.0,workbench,aflow,aflow,generate
multi_domain_15,0.0,False,92760.237888597,10989.666666666666,0.0,33.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,732561217.3078672,3718766.8888888895,0.0,0.0,nan,0.0,0.0,61011.780977249146,0.0,0.0,nan,nan,1.0,1.0,61011.71399399997,10989.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.06600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.666666666666,0.17547488154378205,10989.666666666666,33.0,0.0,workbench,aflow,aflow,generate
multi_domain_16,0.0,False,34805.03886430293,7668.333333333333,0.0,19.666666666666668,0.03389830508474576,0.0,0.0,0.0,0.0,40.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,116348977.80822022,3190402.8888888885,0.0,0.0,nan,0.0,0.0,25814.219792683918,0.0,0.0,nan,nan,1.0,1.0,25814.179657669836,7668.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.333333333333336,0.03933333333333336,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7668.333333333333,0.23292804524547264,7668.333333333333,19.666666666666668,0.03389830508474576,workbench,aflow,aflow,generate
multi_domain_17,0.0,False,14386.545172796026,4615.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3100078.938591838,983012.6666666666,0.0,0.0,nan,0.0,0.0,12835.639397303263,0.0,0.0,nan,nan,1.0,1.0,12835.62449766517,4615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4615.0,0.21483639273628805,4615.0,7.0,0.0,workbench,aflow,aflow,generate
multi_domain_18,0.0,False,48335.80419920095,8411.333333333334,0.0,20.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,121689807.94236238,7631076.222222223,0.0,0.0,nan,0.0,0.0,35455.54518699646,0.0,0.0,nan,nan,1.0,1.0,35455.50430266788,8411.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.04000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8411.333333333334,0.3284188316342717,8411.333333333334,20.0,0.0,workbench,aflow,aflow,generate
multi_domain_19,0.0,False,69727.0618255046,6919.666666666667,0.0,14.666666666666666,0.022727272727272728,0.0,0.0,0.0,0.0,30.333333333333332,0.0,0.0,0.0,0.0,1.0,0.0,508238259.2031738,135274.88888888888,0.0,0.0,nan,0.0,0.0,42809.45634841919,0.0,0.0,nan,nan,1.0,1.0,42809.42605266804,6919.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.333333333333332,0.02933333333333335,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6919.666666666667,0.0531524660507818,6919.666666666667,14.666666666666666,0.022727272727272728,workbench,aflow,aflow,generate
multi_domain_20,1.0,True,40589.51838819844,12500.666666666666,0.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,130889296.08559792,5114672.222222222,1.0,0.0,12500.666666666666,1.0,0.0,26779.560645421345,1.0,1.0,nan,nan,1.0,1.0,26779.53961899766,12500.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12500.666666666666,0.18091547994932503,12500.666666666666,10.0,0.0,workbench,aflow,aflow,generate
multi_domain_21,0.0,False,123969.08498680085,12392.333333333334,0.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2809784705.787374,4961460.222222223,0.0,0.0,nan,0.0,0.0,60043.054262797035,0.0,0.0,nan,nan,1.0,1.0,60043.03594966526,12392.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,0.017333333333333343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12392.333333333334,0.17974286929342553,12392.333333333334,8.666666666666666,0.0,workbench,aflow,aflow,generate
multi_domain_22,1.0,True,23195.413361497518,11557.333333333334,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,15.666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,8701070.159379348,653464.2222222222,1.0,0.0,11557.333333333334,1.0,0.0,19748.919169108074,1.0,1.0,nan,nan,1.0,1.0,19748.903490331333,11557.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,0.014666666666666673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11557.333333333334,0.06994445137108116,11557.333333333334,7.333333333333333,0.0,workbench,aflow,aflow,generate
multi_domain_23,1.0,True,21022.06947919941,12068.666666666666,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,16.333333333333332,0.0,0.0,0.0,1.0,1.0,0.0,2517859.1670972737,592640.2222222222,1.0,0.0,12068.666666666666,1.0,0.0,19891.402165095013,1.0,1.0,nan,nan,1.0,1.0,19891.385869334044,12068.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,0.01533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12068.666666666666,0.06378760105920202,12068.666666666666,7.666666666666667,0.0,workbench,aflow,aflow,generate
multi_domain_24,1.0,True,28333.32410539914,11121.666666666666,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,43851137.58074244,60.22222222222222,1.0,0.0,11121.666666666666,1.0,0.0,20346.47798538208,1.0,1.0,nan,nan,1.0,1.0,20346.46292966742,11121.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11121.666666666666,0.000697763927877885,11121.666666666666,7.0,0.0,workbench,aflow,aflow,generate
multi_domain_25,1.0,True,40887.50432430569,11006.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,151875590.5445585,4344.666666666667,1.0,0.0,11006.0,1.0,0.0,26008.477210998535,1.0,1.0,nan,nan,1.0,1.0,26008.46225100152,11006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11006.0,0.0059889229052503936,11006.0,7.0,0.0,workbench,aflow,aflow,generate
multi_domain_26,0.0,False,34676.99762050206,12685.333333333334,0.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,37030926.2248492,502562.88888888893,0.0,0.0,nan,0.0,0.0,27326.176643371582,0.0,0.0,nan,nan,1.0,1.0,27326.15774766843,12685.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12685.333333333334,0.05588475149402115,12685.333333333334,9.0,0.0,workbench,aflow,aflow,generate
multi_domain_27,1.0,True,27581.011648994525,10977.333333333334,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,43767201.12160112,20.222222222222218,1.0,0.0,10977.333333333334,1.0,0.0,19608.566840489704,1.0,1.0,nan,nan,1.0,1.0,19608.551801997237,10977.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10977.333333333334,0.0004096543654570642,10977.333333333334,7.0,0.0,workbench,aflow,aflow,generate
multi_domain_28,1.0,True,18100.120222003454,11006.666666666666,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,15.666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1750924.3833311365,10714.888888888889,1.0,0.0,11006.666666666666,1.0,0.0,16543.07468732198,1.0,1.0,nan,nan,1.0,1.0,16543.05899333364,11006.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,0.014666666666666673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11006.666666666666,0.009404550042745673,11006.666666666666,7.333333333333333,0.0,workbench,aflow,aflow,generate
multi_domain_29,1.0,True,29268.168403000025,11990.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,16.333333333333332,0.0,0.0,0.0,1.0,1.0,0.0,62188931.18266513,2733122.6666666665,1.0,0.0,11990.0,1.0,0.0,19794.106880823772,1.0,1.0,nan,nan,1.0,1.0,19794.09061699941,11990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,0.01533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11990.0,0.13788289041212595,11990.0,7.666666666666667,0.0,workbench,aflow,aflow,generate
