C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology,system_root,sas_score,sas_success_rate,sas_latency_ms,sas_tokens_total,sas_communication_count,sas_tool_calls_total,score_delta_vs_sas,success_delta_vs_sas,latency_delta_ms_vs_sas,tokens_delta_vs_sas,communication_delta_vs_sas,tool_calls_delta_vs_sas,score_win_vs_sas,score_tie_vs_sas,score_loss_vs_sas
24660.373916313052,5212.0,0.0,8.0,0.0,0.0,5.0,31.0,0.032258064516129,0.0,0.2580645161290322,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,23316.36383314617,3302.0,0.0,0.0,1.0,1.0,182.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1325.0100831668824,1728.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate/769,769,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate,0.0,0.0,3292.5005410015583,13388.0,0.0,3.0,0.0,0.0,21367.873375311494,-8176.0,0.0,5.0,0,1,0
35749.51329461299,20117.0,0.0,20.0,0.0,12.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,32990.815127501264,17059.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,2714.6981671117246,3055.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate/770,770,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate,0.0,0.0,16404.603167116642,158346.0,0.0,8.0,0.0,0.0,19344.910127496347,-138229.0,12.0,12.0,0,1,0
27277.746749971066,6628.0,0.0,8.0,0.0,0.0,5.0,31.0,0.032258064516129,0.0,0.2580645161290322,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,25716.11970802769,5053.0,0.0,0.0,1.0,1.0,194.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1542.6270419433713,1381.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate/771,771,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate,1.0,1.0,6862.918999899179,18038.0,0.0,3.0,-1.0,-1.0,20414.827750071887,-11410.0,0.0,5.0,0,0,1
40699.89070791751,21111.0,0.0,20.0,0.0,12.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,37371.56508280896,17823.0,0.0,0.0,1.0,1.0,118.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,3284.325625108555,3170.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate/772,772,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate,0.0,0.0,6772.266374960542,37316.0,0.0,4.0,0.0,0.0,33927.62433295697,-16205.0,12.0,16.0,0,1,0
31882.253124443818,16761.0,0.0,20.0,0.0,12.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,29189.725167350844,15290.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,2648.5279570929706,1450.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate/773,773,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/fully_linked_debate,0.0,0.0,13836.968749906868,137500.0,0.0,8.0,0.0,0.0,18045.28437453695,-120739.0,12.0,12.0,0,1,0
26139.72537674569,11790.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,22380.267209839076,8549.0,0.0,0.0,1.0,1.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,3728.45816690661,3028.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate/769,769,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate,0.0,0.0,3292.5005410015583,13388.0,0.0,3.0,0.0,0.0,22847.22483574413,-1598.0,0.0,11.0,0,1,0
23402.188123796135,11179.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,19460.360790835693,8131.0,0.0,0.0,1.0,1.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,3910.8273329604417,2773.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate/770,770,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate,0.0,0.0,16404.603167116642,158346.0,0.0,8.0,0.0,0.0,6997.584956679493,-147167.0,0.0,6.0,0,1,0
26737.388625169173,12874.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,23737.09754110314,9359.0,0.0,0.0,1.0,1.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2969.291084066034,3183.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate/771,771,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate,1.0,1.0,6862.918999899179,18038.0,0.0,3.0,-1.0,-1.0,19874.469625269994,-5164.0,0.0,11.0,0,0,1
37027.82487392984,12598.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,33485.58129183948,9001.0,0.0,0.0,1.0,1.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,3511.243582090363,3341.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate/772,772,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate,0.0,0.0,6772.266374960542,37316.0,0.0,4.0,0.0,0.0,30255.5584989693,-24718.0,0.0,10.0,0,1,0
22220.703582871705,11709.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,1.0,1.0,0.0,0.0,0.0,4,browsecomp,1.0,1.0,1.0,1,6.0,19258.994041010737,8521.0,0.0,0.0,1.0,1.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2930.709541860968,2939.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate/773,773,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/browsecomp/group_chat_debate,0.0,0.0,13836.968749906868,137500.0,0.0,8.0,1.0,1.0,8383.734832964838,-125791.0,0.0,6.0,1,0,0
