benchmark,regime_label,count
browsecomp,Unsupported hypothesis,487
browsecomp,Evidence starvation,109
plancraft,Premature impossibility,444
plancraft,Wrong/invalid action,3
stabletoolbench,Unsupported synthesis,180
stabletoolbench,Tool/interface fragility,172
workbench,Entity grounding failure,304
workbench,Workflow blocking,214
finance_agent,Financial support gap,430
finance_agent,Stack/data brittleness,82
