topology,outcome,runs,mean_entropy_bits,mean_normalized_entropy,mean_max_vote_share,single_option_rate
fully_linked_debate,fail,277,0.30047049492082667,0.2794208880241813,0.8811672683513834,0.6967509025270758
fully_linked_debate,success,82,0.30856410066692097,0.28079415260926316,0.8800813008130082,0.6951219512195121
group_chat_debate,fail,334,0.08383233532934131,0.08383233532934131,0.9580838323353293,0.9161676646706587
group_chat_debate,success,97,0.041237113402061855,0.041237113402061855,0.979381443298969,0.9587628865979382
only_voting,fail,343,0.4222107933877883,0.3895501101337161,0.8289601554907674,0.5860058309037901
only_voting,success,103,0.3884517295037113,0.3717184249300693,0.8438511326860844,0.6019417475728155
