task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow,system_root,agent_to_agent_communication_count,system_mediated_communication_count
783,0.0,False,49715.2097309173,11786.333333333334,0.0,14.666666666666666,0.0,0.0,0.0,0.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,140037769.4641161,3115672.8888888885,0.0,0.0,,0.0,3.0,35824.543714523315,0.0,0.0,,,1.0,4.0,35824.444864018005,11786.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333333333,0.0293333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11786.333333333334,0.1497604747994728,11786.333333333334,14.666666666666666,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
784,0.0,False,64750.26382479172,11421.333333333334,0.0,11.666666666666666,0.0,0.0,0.0,0.0,3.0,27.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,311600067.4614825,4602468.222222223,0.0,0.0,,0.0,3.0,43964.10838762919,0.0,0.0,,,1.0,4.0,43964.01188232509,11421.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,0.0233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11421.333333333334,0.187835896777319,11421.333333333334,11.666666666666666,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
785,1.0,True,43807.59555989136,13719.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,1.0,1.0,0.0,2978351.4048016644,164320.66666666666,1.0,0.0,13719.0,1.0,3.0,42440.10154406229,1.0,1.0,,,1.0,4.0,42440.00649999847,13719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13719.0,0.0295476970792599,13719.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
786,0.0,False,616646.2679295168,15832.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,82481165621.46562,1902080.6666666667,0.0,0.0,,0.0,3.0,270587.12641398114,0.0,0.0,,,1.0,4.0,270587.02157501347,15832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15832.0,0.0871121403374035,15832.0,17.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
787,0.0,False,96138.33693650903,19298.0,0.0,17.666666666666668,0.0,0.0,0.0,0.0,3.0,39.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,195089400.15534303,476408.6666666667,0.0,0.0,,0.0,3.0,83861.41419410706,0.0,0.0,,,1.0,4.0,83861.31424700822,19298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,0.0353333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19298.0,0.0357665890380597,19298.0,17.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
788,0.0,False,81305.457635987,16450.0,0.0,18.666666666666668,0.0,0.0,0.0,0.0,3.0,41.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,67006840.86266174,678944.0,0.0,0.0,,0.0,3.0,71464.42143122356,0.0,0.0,,,1.0,4.0,71464.32017799816,16450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,0.0373333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16450.0,0.0500900050027648,16450.0,18.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
790,0.0,False,66914.80082520726,16671.333333333332,0.0,17.666666666666668,0.0,0.0,0.0,0.0,3.0,39.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,122814910.24181125,414680.2222222223,0.0,0.0,,0.0,3.0,54017.60363578797,0.0,0.0,,,1.0,4.0,54017.50441900125,16671.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,0.0353333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16671.333333333332,0.0386265861248311,16671.333333333332,17.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
791,0.0,False,210953.2735786832,19999.666666666668,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,1926675249.2319767,133400.22222222222,0.0,0.0,,0.0,3.0,158264.00836308798,0.0,0.0,,,1.0,4.0,158263.90515265908,19999.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19999.666666666668,0.0182623019501557,19999.666666666668,18.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
792,0.0,False,71760.46277330862,13953.666666666666,0.0,16.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,76464368.08708589,2237318.2222222225,0.0,0.0,,0.0,3.0,61263.48257064819,0.0,0.0,,,1.0,4.0,61263.388095331415,13953.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13953.666666666666,0.1071952486076135,13953.666666666666,16.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
793,0.3333333333333333,True,69275.99762469417,15402.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.2222222222222222,37301767.063783415,3464.0,0.3333333333333333,0.0,46206.0,0.3333333333333333,3.0,62769.69416936239,0.3333333333333333,1.0,,,0.111111111111111,4.0,62769.5884686594,15402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,15402.0,0.0038213060562426,15402.0,18.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
