benchmark,system_label,topology,task_count,avg_accuracy,avg_eval_score,median_eval_score,avg_success_rate,avg_stability,avg_token_total,avg_tokens_total,median_tokens_total,avg_cost_per_success,avg_tokens_cv,avg_tool_calls_total,avg_tool_error_rate,avg_communication_count,avg_handoff_count,avg_latency_e2e,avg_agent_to_agent_communication_count,avg_system_mediated_communication_count,avg_pass_at_1,avg_pass_at_3,avg_pass_at_5,avg_pass_at_8
browsecomp,aflow,aflow,30,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.9407407407407408,15805.388888888887,15805.388888888887,16306.666666666668,28432.5,0.10063296975517061,17.066666666666666,0.0,0.0,3.0,92587.94459236994,0.0,0.0,0.06666666666666667,0.1,,
plancraft,aflow,aflow,30,0.3777777777777778,0.3777777777777778,0.0,0.3777777777777778,0.8814814814814814,7024.644444444444,7024.644444444444,2480.6666666666665,6594.785714285716,0.40902906988664817,0.0,0.0,0.0,0.0,8137.144305970933,0.0,0.0,0.3777777777777778,0.4666666666666667,,
stabletoolbench,aflow,aflow,30,0.8111111111111111,0.8111111111111111,1.0,0.8111111111111111,0.7925925925925925,8023.055555555556,8023.055555555556,6665.5,8912.703703703704,0.14361069960215758,5.377777777777778,0.351352770686104,0.0,1.0,27872.939636972216,0.0,0.0,0.8111111111111111,0.9,,
workbench,aflow,aflow,30,0.3222222222222222,0.3222222222222222,0.0,0.3222222222222222,0.9407407407407408,8008.211111111112,8008.211111111112,7006.333333333334,11480.121212121212,0.18018511211633145,10.222222222222221,0.0018875192604006134,0.0,0.0,23370.554359753925,0.0,0.0,0.3222222222222222,0.36666666666666664,,
