C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
34249.785832013935,23553.0,0.0,20.0,0.0,5.0,8.0,55.0,0.01818181818181818,0.0,0.14545454545454545,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,32853.03241596557,22713.0,0.0,0.0,1.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1354.7534160483629,739.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_no_discussion/multi_domain_0,multi_domain_0,orchestrator_no_discussion
100065.56237429939,30453.0,0.0,25.0,0.0,5.0,8.0,65.0,0.015384615384615385,0.0,0.12307692307692308,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,97676.86174926348,29542.0,0.0,0.0,1.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2336.700625035912,792.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_no_discussion/multi_domain_1,multi_domain_1,orchestrator_no_discussion
37660.068417085335,22795.0,0.0,20.0,0.0,5.0,8.0,55.0,0.01818181818181818,0.0,0.14545454545454545,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,36279.8426670488,22062.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1338.2257500365376,634.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_no_discussion/multi_domain_2,multi_domain_2,orchestrator_no_discussion
30332.400585038587,21146.0,0.0,19.0,0.0,5.0,8.0,53.0,0.018867924528301886,0.0,0.1509433962264151,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,28799.64979295619,20363.0,0.0,0.0,1.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1492.7507920823991,691.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_no_discussion/multi_domain_3,multi_domain_3,orchestrator_no_discussion
34623.398875141516,23466.0,0.0,21.0,0.0,5.0,8.0,57.0,0.017543859649122806,0.0,0.14035087719298245,1.0,1.0,0.0,0.0,0.0,4,workbench,1.0,1.0,1.0,1,5.0,32677.95762512833,22694.0,0.0,0.0,1.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1901.4412500131875,681.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_no_discussion/multi_domain_4,multi_domain_4,orchestrator_no_discussion
