C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
33469.1087931823,20809.0,0.0,20.0,0.0,6.0,10.0,61.0,0.03278688524590164,0.0,0.18032786885245902,0.0,1.0,0.0,0.0,0.0,5,workbench,0.0,1.0,0.0,1,7.0,33415.1087931823,20760.0,0.0,0.0,1.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_tree_structure/multi_domain_0,multi_domain_0,orchestrator_tree_structure
37735.70125022717,25568.0,0.0,24.0,0.0,6.0,10.0,69.0,0.028985507246376812,0.0,0.15942028985507245,0.0,1.0,0.0,0.0,0.0,5,workbench,0.0,1.0,0.0,1,7.0,37673.70125022717,25521.0,0.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_tree_structure/multi_domain_1,multi_domain_1,orchestrator_tree_structure
30676.881209710613,16371.0,0.0,20.0,0.0,6.0,10.0,61.0,0.03278688524590164,0.0,0.18032786885245902,1.0,1.0,0.0,0.0,0.0,5,workbench,1.0,1.0,1.0,1,7.0,30622.881209710613,16297.0,0.0,0.0,1.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_tree_structure/multi_domain_2,multi_domain_2,orchestrator_tree_structure
33139.197499901056,22901.0,0.0,23.0,0.0,6.0,10.0,67.0,0.029850746268656716,0.0,0.16417910447761194,0.0,1.0,0.0,0.0,0.0,5,workbench,0.0,1.0,0.0,1,7.0,33079.197499901056,22875.0,0.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_tree_structure/multi_domain_3,multi_domain_3,orchestrator_tree_structure
67160.10795990005,43790.0,0.0,37.0,0.0,10.0,20.0,113.0,0.035398230088495575,0.2743362831858407,0.18584070796460178,1.0,1.0,0.0,0.0,0.0,5,workbench,1.0,1.0,1.0,1,13.0,67060.10795990005,43709.0,0.0,0.0,1.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,1.0,orchestrator_tree_structure,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_tree_structure/multi_domain_4,multi_domain_4,orchestrator_tree_structure
