C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
128201.79787302087,69449.0,0.0,38.0,0.0,8.0,8.0,0.0,29.0,141.0,0.0425531914893617,0.425531914893617,0.2624113475177305,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,21.0,113968.41216600296,50126.0,0.0,0.0,1.0,1.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,37.0,14150.385707017907,19102.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/workbench/orchestrator_with_discussion/multi_domain_0,multi_domain_0,orchestrator_with_discussion
62842.007582986495,33303.0,0.0,26.0,0.0,8.0,8.0,0.0,15.0,77.0,0.025974025974025976,0.012987012987012988,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,8.0,57660.43595699011,28335.0,0.0,0.0,1.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,5126.571625996381,4891.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/workbench/orchestrator_with_discussion/multi_domain_1,multi_domain_1,orchestrator_with_discussion
118554.88041500881,62302.0,0.0,37.0,0.0,8.0,8.0,0.0,29.0,139.0,0.04316546762589928,0.4172661870503597,0.26618705035971224,1.0,1.0,0.0,0.0,0.0,4,workbench,1.0,1.0,1.0,1,21.0,104897.66258200689,47797.0,0.0,0.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,37.0,13576.217833001923,14425.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/workbench/orchestrator_with_discussion/multi_domain_2,multi_domain_2,orchestrator_with_discussion
