C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
51333.4710839577,26744.0,0.0,22.0,0.0,4.0,15.0,73.0,0.0410958904109589,0.2328767123287671,0.2054794520547945,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,10.0,46486.783584114164,24158.0,0.0,0.0,1.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,4798.687499843538,2503.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/group_chat_debate/multi_domain_0,multi_domain_0,group_chat_debate
31943.024000978097,16392.0,0.0,14.0,0.0,0.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,6.0,29323.48483381793,14660.0,0.0,0.0,1.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,2588.5391671601683,1629.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/group_chat_debate/multi_domain_1,multi_domain_1,group_chat_debate
48562.16587349214,23867.0,0.0,20.0,0.0,4.0,15.0,69.0,0.043478260869565216,0.2753623188405797,0.21739130434782608,1.0,1.0,0.0,0.0,0.0,4,workbench,1.0,1.0,1.0,1,10.0,44462.87487447262,21347.0,0.0,0.0,1.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,4055.2909990195185,2437.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/group_chat_debate/multi_domain_2,multi_domain_2,group_chat_debate
25913.31666576676,12835.0,0.0,12.0,0.0,0.0,7.0,43.0,0.046511627906976744,0.0,0.23255813953488372,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,6.0,22776.795874815434,11064.0,0.0,0.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,3109.5207909513265,1719.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/group_chat_debate/multi_domain_3,multi_domain_3,group_chat_debate
50726.47208156064,28335.0,0.0,22.0,0.0,4.0,15.0,73.0,0.0410958904109589,0.2328767123287671,0.2054794520547945,1.0,1.0,0.0,0.0,0.0,4,workbench,1.0,1.0,1.0,1,10.0,44449.54558252357,25452.0,0.0,0.0,1.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,6228.926499037072,2791.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/group_chat_debate/multi_domain_4,multi_domain_4,group_chat_debate
