C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology
30776.534332735464,21168.0,0.0,18.0,0.0,5.0,8.0,52.0,0.019230769230769232,0.0,0.17307692307692307,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,28209.086916875094,19738.0,0.0,0.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2529.44741586037,1326.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_with_discussion/multi_domain_0,multi_domain_0,orchestrator_with_discussion
32191.230666803196,21495.0,0.0,19.0,0.0,5.0,8.0,54.0,0.018518518518518517,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,28961.77741792053,20189.0,0.0,0.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3189.4532488826662,1202.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_with_discussion/multi_domain_1,multi_domain_1,orchestrator_with_discussion
30413.246084311977,19774.0,0.0,18.0,0.0,5.0,8.0,52.0,0.019230769230769232,0.0,0.17307692307692307,1.0,1.0,0.0,0.0,0.0,4,workbench,1.0,1.0,1.0,1,5.0,27742.559417150915,18383.0,0.0,0.0,1.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2632.6866671610624,1307.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_with_discussion/multi_domain_2,multi_domain_2,orchestrator_with_discussion
27421.10316598229,18915.0,0.0,16.0,0.0,5.0,8.0,48.0,0.020833333333333332,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,24228.485957952216,17387.0,0.0,0.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3158.617208030075,1424.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_with_discussion/multi_domain_3,multi_domain_3,orchestrator_with_discussion
34927.00183221325,24292.0,0.0,22.0,0.0,5.0,8.0,60.0,0.016666666666666666,0.0,0.15,0.0,1.0,0.0,0.0,0.0,4,workbench,0.0,1.0,0.0,1,5.0,31496.29983305931,22710.0,0.0,0.0,1.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3384.701999153942,1494.0,0.0,1.0,orchestrator_with_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260330T200430Z/workbench/orchestrator_with_discussion/multi_domain_4,multi_domain_4,orchestrator_with_discussion
